theta     sigma     erry
10.19108     0.80674     0.080674
12.95117     0.89819     0.089819
15.28662     1.012     0.1012
18.04671     1.12671     0.112671
20.59448     1.12671     0.112671
23.14225     1.0     0.1
25.47771     0.75101     0.075101
28.23779     0.44429     0.044429
30.57325     0.24762     0.024762
33.33333     0.25059     0.025059
35.66879     0.53136     0.053136
38.42887     1.0871     0.10871
40.76433     1.8158     0.18158
43.3121     2.65993     0.265993
45.85987     3.21938     0.321938
48.40764     3.71491     0.371491
50.95541     3.71491     0.371491
53.50318     3.45828     0.345828
56.05096     2.92632     0.292632
58.59873     2.25077     0.225077
61.1465     1.57359     0.157359
63.69427     1.10015     0.110015
66.02972     0.91988     0.091988
68.78981     1.07421     0.107421
71.12527     1.33153     0.133153
73.88535     1.95054     0.195054
76.22081     2.59721     0.259721
78.76858     3.21938     0.321938
81.10403     3.62732     0.362732
83.6518     3.99058     0.399058
86.41189     3.7595     0.37595
88.74735     3.45828     0.345828
91.29512     3.03295     0.303295
96.17834     1.95054     0.195054
101.27389     1.10015     0.110015
106.15711     0.98814     0.098814
111.25265     1.38005     0.138005
116.13588     1.85965     0.185965
121.01911     2.09529     0.209529
126.11465     1.90455     0.190455
130.99788     1.46488     0.146488
135.8811     1.06147     0.106147
140.76433     0.89819     0.089819
145.85987     1.03644     0.103644
150.7431     1.38005     0.138005
155.62633     1.77298     0.177298
160.50955     2.12043     0.212043
165.39278     2.33279     0.233279
170.27601     2.53598     0.253598
